Sample	Taxonomy	Count
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Oscillospirales(1.00),f:Ruminococcaceae(1.00),g:Faecalibacterium(1.00),s:uncultured bacterium(1.00)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Planctomycetota(1.00),c:Phycisphaerae(1.00),o:Phycisphaerales(1.00),f:Phycisphaeraceae(1.00),g:SM1A02(1.00),s:marine metagenome(0.19)	1
BiolstdM10XDilBC10e4fluo	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Salinisphaerales(1.00),f:Salinisphaeraceae(1.00),g:Salinisphaera(1.00),s:uncultured bacterium(1.00)	1
BiolstdM10XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Methylophilaceae(1.00),g:Methylotenera(1.00),s:uncultured bacterium(1.00)	67
BiolstdM10XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Kangiellaceae(1.00),g:Pleionea(1.00),s:gamma proteobacterium GMD38C3(0.99)	23
BiolstdM10XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Salinisphaerales(1.00),f:Salinisphaeraceae(1.00),g:Salinisphaera(1.00),s:uncultured bacterium(1.00)	19
BiolstdM10XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Cytophagales(1.00),f:Cyclobacteriaceae(1.00),g:Fabibacter(0.90),s:uncultured bacterium(0.33)	15
BiolstdM10XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Cryomorphaceae(1.00),g:Owenweeksia(1.00),s:uncultured Owenweeksia sp.(0.71)	10
BiolstdM10XDilBC10e4mine	k:Bacteria(1.00),p:Planctomycetota(1.00),c:Phycisphaerae(1.00),o:Phycisphaerales(1.00),f:Phycisphaeraceae(1.00),g:SM1A02(1.00),s:marine metagenome(0.19)	6
BiolstdM10XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:JTB23(0.14),f:uncultured bacterium(0.14)	5
BiolstdM10XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(0.99),f:Spongiibacteraceae(0.99),g:Litorivivens(0.99),s:Litorivivens aequoris(0.99)	5
